PlayerID,Age_Group,Gender,Country,Subscription_Tier,Avg_Session_Min,Total_Hours_Played,Games_Owned,Total_Spend_USD,Joined_Year,Churn_Flag,Preferred_Genre,Preferred_Device,Friends_Count,Achievement_Points
1,18-24,Male,Poland,Ultimate,34.9,537.6,76,15.35,2021,1,Sports,Console,32,6638
2,25-34,Female,France,Basic,69.5,311.4,3,244.33,2021,0,Racing,Mobile,202,31773
3,25-34,Female,Russia,Basic,33.9,1394.8,28,75.24,2017,1,Shooter,Handheld,380,4669
4,25-34,Male,Australia,Free,23.9,12.0,12,158.51,2021,0,Fighting,Handheld,440,44289
5,25-34,Non-binary,Japan,Premium,15.8,44.8,119,112.55,2018,0,Puzzle,Handheld,248,33204
6,25-34,Male,India,Basic,9.6,64.0,80,14.11,2020,1,Sports,Handheld,88,19456
7,18-24,Female,South Korea,Basic,106.5,28.5,44,397.33,2016,0,Puzzle,PC,423,24268
8,18-24,Female,Russia,Premium,18.9,170.0,15,38.95,2018,0,Action,Handheld,462,46551
9,18-24,Female,Turkey,Basic,15.8,179.8,118,31.76,2024,0,Sports,Console,264,21905
10,45-54,Male,Italy,Basic,23.7,1588.3,55,75.32,2024,0,Racing,PC,288,48810
11,25-34,Male,Brazil,Free,26.5,439.0,95,77.56,2018,0,RPG,Console,76,43636
12,18-24,Male,Australia,Premium,122.8,80.7,117,2700.01,2019,0,Sports,Handheld,113,41907
13,25-34,Female,Spain,Ultimate,25.5,268.6,85,133.58,2020,0,Racing,PC,152,25348
14,45-54,Male,Saudi Arabia,Premium,272.2,16.6,82,26.36,2018,1,Adventure,PC,307,17531
15,13-17,Female,China,Premium,34.8,176.0,48,941.13,2020,0,Puzzle,Mobile,345,9729
16,25-34,Male,Mexico,Free,171.7,165.1,6,4.73,2023,0,Simulation,Console,282,36069
17,25-34,Female,Germany,Ultimate,67.7,50.3,64,26.5,2018,0,Puzzle,PC,308,21200
18,25-34,Male,UK,Free,44.2,116.6,81,23.72,2021,1,Adventure,PC,176,46944
19,<13,Male,Russia,Ultimate,117.0,64.6,87,54.25,2021,0,Strategy,Handheld,61,12126
20,35-44,Male,Brazil,Free,81.3,48.5,35,91.77,2022,0,Action,PC,330,13071
21,45-54,Male,France,Basic,55.0,333.4,82,104.95,2016,0,Action,Handheld,97,3741
22,25-34,Male,Japan,Premium,211.5,513.2,11,102.08,2015,1,Simulation,Handheld,97,26375
23,25-34,Female,Brazil,Basic,22.2,273.7,23,140.45,2023,1,Simulation,PC,228,22958
24,45-54,Male,Netherlands,Basic,14.9,87.7,57,49.88,2023,1,Racing,Handheld,292,28430
25,25-34,Male,Russia,Premium,19.3,67.0,81,377.81,2018,1,Racing,Mobile,8,27660
26,13-17,Female,Netherlands,Basic,134.5,91.1,70,4.87,2018,0,Sports,PC,491,43896
27,25-34,Male,Japan,Free,105.7,114.0,88,1.19,2024,0,Strategy,Mobile,180,47010
28,25-34,Non-binary,Canada,Basic,21.8,52.1,114,165.85,2017,0,Action,PC,255,48426
29,18-24,Prefer not to say,Turkey,Free,5.0,525.6,37,33.22,2017,1,Simulation,Console,473,26313
30,35-44,Male,Germany,Premium,28.1,116.4,63,717.66,2019,0,Simulation,Handheld,311,39130
31,45-54,Male,Brazil,Free,14.7,371.6,80,260.86,2019,0,Racing,Mobile,375,3854
32,45-54,Male,UK,Basic,22.3,27.7,93,132.06,2018,0,Racing,Handheld,450,34746
33,25-34,Female,Netherlands,Basic,14.2,65.0,29,26.31,2019,1,Action,Handheld,210,17542
34,13-17,Female,Canada,Free,9.1,416.2,116,150.47,2017,0,Strategy,Console,418,2077
35,55+,Female,Russia,Basic,149.4,423.4,42,30.13,2020,0,Shooter,Handheld,244,14861
36,35-44,Female,Turkey,Basic,19.2,35.1,28,59.71,2022,0,Shooter,Console,192,28469
37,13-17,Male,Canada,Ultimate,102.5,213.5,16,33.47,2020,0,Adventure,Console,457,27031
38,45-54,Female,Spain,Premium,27.7,220.3,67,80.54,2021,1,Adventure,Mobile,46,39935
39,35-44,Female,Spain,Premium,13.4,63.4,106,37.47,2022,1,Racing,Handheld,87,15762
40,25-34,Male,USA,Basic,49.8,227.8,88,244.94,2021,0,Sports,PC,380,30839
41,25-34,Female,Netherlands,Free,24.2,22.3,18,107.67,2024,1,Racing,Console,292,5779
42,18-24,Female,Japan,Free,28.1,48.8,48,25.44,2019,0,Puzzle,PC,483,46903
43,13-17,Male,Poland,Free,37.2,304.5,17,27.91,2020,0,Sports,PC,330,17035
44,18-24,Male,Turkey,Premium,17.3,153.8,113,8.13,2020,0,Puzzle,PC,489,6701
45,35-44,Male,Netherlands,Free,9.1,163.6,74,2.92,2023,0,Adventure,PC,34,45624
46,<13,Male,USA,Basic,31.8,120.3,101,221.22,2019,1,Puzzle,Mobile,160,8027
47,18-24,Non-binary,Canada,Free,71.6,282.7,25,32.0,2018,0,Puzzle,PC,296,2993
48,18-24,Male,China,Free,16.1,299.5,100,8.79,2016,0,Simulation,PC,476,40358
49,25-34,Female,Canada,Free,37.5,383.7,111,106.34,2018,0,Adventure,Mobile,424,36882
50,45-54,Male,Poland,Basic,110.4,172.6,48,18.5,2016,0,Fighting,Mobile,481,32908
51,18-24,Male,Japan,Basic,30.8,93.1,87,49.21,2021,0,Adventure,PC,244,12311
52,18-24,Female,Italy,Basic,35.5,76.1,50,7.86,2024,0,Sports,Handheld,177,15194
53,35-44,Female,Italy,Basic,34.6,41.8,19,144.55,2020,0,RPG,Mobile,295,47856
54,25-34,Male,UAE,Premium,19.2,91.5,74,62.31,2020,0,Sports,PC,394,19049
55,18-24,Male,India,Premium,15.0,71.7,75,115.54,2015,0,RPG,PC,448,4562
56,25-34,Male,UK,Premium,15.0,1014.2,41,28.75,2017,0,Shooter,Console,296,42134
57,13-17,Male,Brazil,Basic,44.5,42.3,5,79.1,2016,0,Strategy,Console,116,30246
58,18-24,Male,Japan,Free,60.7,515.3,6,6.15,2018,0,Sports,Console,310,45092
59,25-34,Male,South Korea,Ultimate,63.1,107.6,3,1655.35,2023,0,Action,PC,66,34329
60,18-24,Non-binary,UAE,Free,24.5,115.8,45,101.71,2022,1,Action,Mobile,293,14158
61,45-54,Male,Germany,Free,79.4,240.2,102,707.15,2015,1,RPG,Handheld,253,41725
62,18-24,Female,Netherlands,Basic,42.3,27.1,75,36.63,2021,0,Fighting,PC,488,9335
63,25-34,Female,South Korea,Basic,35.0,56.8,61,11.3,2024,0,Simulation,Console,334,30411
64,25-34,Male,Russia,Free,2.3,33.5,112,26.12,2015,1,Simulation,PC,56,38224
65,<13,Female,Japan,Premium,17.2,94.0,107,51.12,2023,0,RPG,Mobile,473,34116
66,25-34,Male,USA,Basic,9.8,49.8,106,45.84,2023,1,Sports,Mobile,432,28139
67,18-24,Female,Russia,Basic,54.7,721.0,48,891.0,2017,0,Action,Handheld,252,16088
68,55+,Male,South Korea,Basic,35.7,73.7,24,15.13,2016,0,Simulation,PC,367,41014
69,13-17,Male,UAE,Basic,14.0,8.5,110,22.04,2022,0,Adventure,Mobile,257,24633
70,18-24,Female,Turkey,Free,42.2,99.4,48,159.1,2020,0,Action,Mobile,329,744
71,13-17,Female,Netherlands,Free,10.6,391.1,26,5.05,2017,0,Strategy,Console,308,8459
72,55+,Female,Australia,Free,14.4,1049.8,49,51.38,2019,0,RPG,Console,372,18854
73,25-34,Non-binary,Saudi Arabia,Premium,18.8,112.7,90,67.53,2024,0,Adventure,PC,7,49186
74,25-34,Male,Poland,Basic,51.0,79.8,88,104.59,2023,0,Sports,PC,250,30550
75,13-17,Male,South Korea,Basic,101.4,145.9,104,92.14,2022,0,RPG,Mobile,62,14775
76,35-44,Male,Saudi Arabia,Basic,20.7,244.2,55,1076.65,2024,0,Sports,Mobile,132,28927
77,18-24,Female,India,Basic,95.4,38.3,4,14.48,2016,0,Puzzle,Mobile,74,27966
78,45-54,Female,Saudi Arabia,Free,34.4,110.7,49,20.77,2018,0,RPG,PC,203,26126
79,18-24,Male,Brazil,Free,40.0,139.8,74,136.21,2024,0,Sports,Console,331,42542
80,18-24,Male,UK,Ultimate,31.5,156.8,98,76.67,2023,0,Strategy,Mobile,318,15441
81,<13,Female,Russia,Basic,28.3,124.8,44,92.47,2022,1,Fighting,Handheld,157,29976
82,25-34,Male,Poland,Premium,47.1,48.3,29,6.63,2017,0,Racing,PC,453,36145
83,25-34,Female,South Korea,Basic,59.9,222.8,26,1438.88,2016,0,Strategy,Handheld,320,16004
84,13-17,Female,UK,Premium,16.3,140.7,83,107.48,2018,1,Adventure,Handheld,383,35967
85,35-44,Non-binary,Australia,Basic,28.5,140.3,85,5.09,2016,0,RPG,PC,197,18876
86,25-34,Male,UK,Free,125.9,40.5,83,136.59,2024,0,RPG,PC,147,48846
87,25-34,Male,Turkey,Ultimate,38.2,320.0,61,10.43,2021,0,Action,Handheld,393,23676
88,18-24,Male,Mexico,Free,41.7,47.6,40,220.02,2024,0,Racing,PC,361,5228
89,18-24,Male,Russia,Free,84.3,1032.5,102,7.59,2020,0,Fighting,Handheld,32,36249
90,25-34,Non-binary,UAE,Free,22.2,36.0,19,246.92,2015,1,RPG,Handheld,109,48505
