ReviewID,GameID,PlayerID,Year,Month,Score,Sentiment,Helpful_Votes,Platform,Verified_Purchase
1,67,9649,2015,9,4,Neutral,84,PS3,1
2,117,9676,2023,6,8,Positive,492,Xbox 360,1
3,45,9838,2021,10,7,Neutral,293,Nintendo Switch,1
4,49,83,2017,3,6,Neutral,95,Nintendo Switch,1
5,160,5648,2017,7,10,Positive,463,Nintendo Switch,1
6,137,6355,2024,5,9,Positive,310,PS3,1
7,156,224,2016,6,4,Negative,97,PS3,1
8,86,3795,2016,12,5,Neutral,304,Mobile,1
9,164,1042,2019,6,8,Positive,191,Nintendo Switch,1
10,171,9983,2018,10,8,Positive,242,Xbox 360,1
11,49,8578,2016,4,4,Neutral,142,Xbox One,1
12,192,5695,2018,11,8,Positive,193,PS3,1
13,6,6655,2016,12,10,Positive,82,Mobile,1
14,149,8614,2020,8,7,Neutral,181,Wii,1
15,16,4598,2024,5,7,Positive,32,PS3,1
16,32,8508,2021,1,7,Positive,414,Xbox One,1
17,194,5082,2023,2,8,Positive,270,PC,1
18,18,6392,2020,8,7,Positive,309,PS4,1
19,150,1611,2024,11,2,Negative,359,Xbox One,1
20,54,5864,2016,7,6,Neutral,471,PS4,1
21,172,4585,2021,10,7,Positive,94,Xbox 360,1
22,119,9268,2015,3,4,Negative,101,Nintendo Switch,0
23,54,5747,2019,7,7,Positive,72,Xbox One,1
24,46,5761,2016,1,7,Positive,196,PS5,1
25,8,9495,2016,7,6,Neutral,445,Mobile,1
26,35,2975,2022,12,7,Positive,430,Wii,1
27,120,3203,2021,6,4,Negative,345,Xbox One,1
28,171,1949,2020,6,10,Positive,417,Nintendo Switch,1
29,15,5645,2019,5,8,Positive,219,Wii,1
30,113,4256,2019,9,9,Positive,97,Xbox 360,0
31,98,5033,2021,4,4,Negative,477,PS5,1
32,148,2086,2023,8,7,Positive,0,Wii,1
33,27,437,2021,9,7,Positive,39,Mobile,1
34,85,7986,2023,8,7,Neutral,125,Xbox One,1
35,123,8314,2019,1,4,Negative,170,PS3,1
36,38,3744,2015,12,4,Negative,392,Xbox One,1
37,179,2812,2021,7,8,Positive,134,Mobile,1
38,101,7942,2024,11,2,Negative,337,PC,1
39,151,8873,2019,4,8,Positive,265,PS4,1
40,16,3610,2016,11,10,Positive,157,PS5,1
41,165,1246,2020,11,7,Positive,435,PS4,0
42,180,4810,2021,4,10,Positive,229,PS3,1
43,54,4799,2019,10,8,Positive,39,PS3,1
44,21,7621,2022,2,3,Negative,57,Wii,1
45,48,9057,2019,5,10,Positive,51,PS5,1
46,105,3243,2018,6,1,Negative,405,Mobile,1
47,32,402,2022,10,7,Neutral,472,PS4,1
48,188,8045,2020,9,7,Positive,18,Wii,1
49,81,7704,2023,7,10,Positive,489,PS3,1
50,190,3522,2018,3,7,Positive,29,Nintendo Switch,1
51,15,2382,2015,2,10,Positive,13,Wii,1
52,2,8135,2016,6,2,Negative,490,PS5,1
53,64,2215,2017,3,7,Positive,35,Wii,1
54,25,9303,2019,7,3,Negative,340,PS3,1
55,196,1409,2016,1,10,Positive,299,Nintendo Switch,1
56,196,8909,2024,11,7,Positive,344,PS3,1
57,193,7264,2021,4,8,Positive,389,PS5,1
58,166,1566,2018,9,4,Neutral,124,PS5,1
59,15,6615,2016,2,9,Positive,370,PS3,0
60,120,693,2016,3,2,Negative,343,Mobile,1
61,103,8138,2018,7,7,Positive,228,PC,0
62,19,7411,2019,3,1,Negative,357,Nintendo Switch,1
63,8,1182,2021,1,4,Neutral,377,Wii,1
64,30,8924,2024,4,7,Positive,213,Xbox Series X,1
65,140,2232,2018,9,7,Positive,32,Wii,1
66,55,4901,2018,3,8,Positive,454,Xbox One,1
67,68,2353,2018,4,8,Positive,468,Nintendo Switch,1
68,84,912,2022,4,4,Negative,479,Xbox 360,0
69,33,2342,2022,9,10,Positive,230,PS4,1
70,73,8035,2015,4,1,Negative,92,PS3,1
71,52,5137,2023,4,2,Negative,242,Xbox 360,1
72,83,5154,2018,9,9,Positive,150,Xbox 360,1
73,180,3435,2016,6,5,Neutral,482,Nintendo Switch,1
74,144,6947,2024,12,9,Positive,251,Xbox 360,0
75,168,9491,2016,10,2,Negative,18,Xbox One,0
76,73,8758,2019,8,9,Positive,452,Xbox One,1
77,54,3412,2015,8,9,Positive,112,PS4,0
78,7,3089,2017,1,9,Positive,362,PS5,1
79,30,9534,2024,3,7,Positive,426,Xbox One,0
80,59,458,2018,9,5,Neutral,427,Xbox Series X,1
81,44,5684,2022,5,7,Positive,285,PS3,1
